Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
Four Seasons Place,KLCC,Kuala Lumpur,Freehold,Service Residence,11420500,3017,14
St Regis,KL Sentral,Kuala Lumpur,Freehold,Service Residence,3715000,2264,21
Platinum Suites (The Face Suites),KLCC,Kuala Lumpur,Freehold,Service Residence,1453150,1827,46
Dorsett Residences Bukit Bintang,Bukit Bintang,Kuala Lumpur,Freehold,Service Residence,1482000,1664,94
The Ruma,KLCC,Kuala Lumpur,Freehold,Service Residence,1497050,1563,12
Pavilion Residences,Bukit Bintang,Kuala Lumpur,Leasehold,Service Residence,5460000,1515,11
Setia Sky 88,Johor Bahru,Johor,Freehold,Service Residence,1386800,1270,79
18 Madge,Ampang Hilir,Kuala Lumpur,Freehold,Condominium,3200728,1224,11
Cormar Suites (Fraser Place (Lot 163)),KLCC,Kuala Lumpur,Freehold,Service Residence,749400,1200,14
Suria Stonor,KLCC,Kuala Lumpur,Freehold,Service Residence,1853500,1173,14
One Central Park,Desa ParkCity,Kuala Lumpur,Freehold,Condominium,1600000,1164,15
TANJONG PINANG,Tanjong Tokong,Penang,Freehold,Terrace House,3450000,1146,24
Andaman Quayside,Tanjong Tokong,Penang,Freehold,Condominium,2550000,1140,13
Arcoris Residences,Mont Kiara,Kuala Lumpur,Freehold,Service Residence,1010000,1106,19
Verve Suites KL South,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Service Residence,778800,1097,18
Residensi 22,Mont Kiara,Kuala Lumpur,Freehold,Condominium,2200000,1074,31
HIJAUAN SELAYANG,Selayang,Selangor,Leasehold,Terrace House,1498800,1071,17
Residensi Solaris Parq,Dutamas,Kuala Lumpur,Freehold,Service Residence,1090000,1068,14
Queens Residences Q2 @ Queens Waterfront,Bayan Lepas,Penang,Freehold,Condominium,1253287,1066,14
The Astaka @ 1 Bukit Senyum,Johor Bahru,Johor,Freehold,Service Residence,2386358,1055,30
The Oval,KLCC,Kuala Lumpur,Freehold,Service Residence,4045824,1038,11
Westside Three,Desa ParkCity,Kuala Lumpur,Freehold,Condominium,1550000,1007,15
